index,corr. coef
3811-2508,1.073_0.6
3803-2609,0.116_0.782
3833-15,0.526_0.659
3809-10961,0.963_0.839
3841-10401,0.286_0.663
3809-2394,0.475_0.853
3809-922,0.746_0.522
3809-1360,0.496_0.634
3803-19070,0.635_0.581
3811-21116,0.854_0.703
3841-22249,0.671_0.729
3809-20781,0.136_0.791
3811-18223,0.931_0.622
3809-19688,1.008_0.776
3811-24403,0.5_0.579
3811-26639,0.201_0.673
3841-9758,0.315_0.83
3809-18749,1.23_0.729
3833-30889,0.473_0.834
3809-4500,0.614_0.596
3811-2609,0.3_0.752
3833-26291,0.616_0.827
3809-2321,0.266_0.547
3811-2677,1.268_0.661
3809-4560,0.152_0.75
3803-26292,0.312_0.773
3833-24743,0.589_0.777
3833-25876,0.406_0.736
3803-25141,0.633_0.824
3803-5495,0.752_0.612
3809-5763,0.816_0.714
3811-31110,1.026_0.827
3841-8827,1.036_0.792
3809-2720,1.56_0.546
3811-7931,0.445_0.556
3833-31719,0.5_0.835
3809-2969,0.512_0.662
3841-24048,0.139_0.7
3841-2386,0.494_0.781
3841-26676,0.852_0.614
3809-10316,0.333_0.816
3809-20366,0.304_0.616
3811-23845,1.37_0.666
3803-2789,1.172_0.71
3809-26182,1.161_0.642
3841-19537,0.865_0.591
3809-9745,0.753_0.602
3803-25126,0.244_0.797
3803-1135,1.437_0.559
3811-21117,0.601_0.635
3809-21117,0.118_0.739
3803-2012,0.446_0.809
3841-11091,0.664_0.501
3841-18223,1.61_0.622
3809-4959,1.08_0.699
3833-23111,0.804_0.603
3811-19070,1.004_0.629
3811-4635,0.519_0.681
3841-20938,1.299_0.618
3809-8624,1.576_0.862
3841-26650,1.226_0.582
3833-2471,1.217_0.797
3811-10023,0.383_0.547
3811-16896,0.807_0.801
3809-11308,0.254_0.742
3841-5495,1.209_0.627
3803-2386,0.708_0.704
3811-15829,0.207_0.721
3833-13754,0.513_0.811
3811-23913,0.615_0.716
3841-23845,0.71_0.829
3841-19545,0.569_0.869
3811-13515,1.347_0.593
3803-2285,1.283_0.699
3811-8567,0.714_0.628
3803-1445,0.714_0.649
3841-16109,1.325_0.613
3803-23115,0.121_0.632
3803-26676,0.194_0.664
3841-19539,0.229_0.499
3811-26735,1.708_0.425
3803-24755,0.211_0.625
3811-24394,0.485_0.743
3841-15467,0.495_0.712
3841-2789,0.156_0.569
3811-25878,0.461_0.659
3803-26348,1.468_0.571
3809-24743,0.386_0.657
3803-5675,0.33_0.588
3803-4625,0.866_0.602
3809-26676,1.306_0.652
3841-26292,0.597_0.791
3803-4343,1.453_0.81
3841-1036,0.392_0.597
3833-24880,0.776_0.673
3811-7222,0.577_0.686
3809-18116,1.948_0.564
3809-1910,0.442_0.731
3809-19071,0.25_0.614
3811-2719,0.807_0.642
3811-2308,0.52_0.685
3841-2394,0.545_0.699
3833-23913,0.453_0.771
3803-26638,1.314_0.634
3841-25144,1.18_0.489
3811-25141,0.314_0.683
3811-26676,0.498_0.704
3811-31719,0.883_0.816
3803-2397,1.04_0.724
3811-31205,0.353_0.722
3809-5289,0.774_0.771
3811-26638,1.067_0.675
3811-25002,0.863_0.612
3809-1951,0.725_0.606
3841-16503,0.307_0.637
3803-30818,0.222_0.907
3809-25139,1.073_0.768
3811-1830,0.851_0.64
3803-13515,0.528_0.681
3841-24753,0.285_0.716
3811-16059,1.489_0.558
3811-25140,1.385_0.691
3811-24785,1.46_0.616
3811-18802,0.737_0.658
3809-3002,1.098_0.615
3803-16589,0.66_0.688
3833-26638,0.571_0.662
3803-7930,1.063_0.539
3841-26291,0.242_0.762
3803-19547,0.988_0.566
3809-10629,1.367_0.695
3841-19070,0.13_0.646
3811-13818,0.875_0.768
3809-8925,0.904_0.642
3841-10853,1.021_0.813
3811-4033,1.52_0.676
3811-1910,0.632_0.637
3803-9949,1.714_0.846
3803-18111,0.128_0.813
3809-6479,2.0_0.57
3803-24178,0.564_0.706
3809-26348,1.113_0.746
3811-2313,0.827_0.805
3833-31587,0.129_0.863
3811-7053,0.223_0.754
3803-14410,1.466_0.586
3841-18224,1.203_0.685
3803-13540,0.789_0.575
3811-31080,1.06_0.732
3803-1360,0.17_0.694
3841-25881,1.4_0.84
3809-27491,1.23_0.77
3841-13410,1.208_0.648
3811-18853,1.421_0.565
3811-26290,0.461_0.56
3811-24759,0.458_0.688
3811-1840,1.142_0.792
3833-9949,0.446_0.768
3811-15467,0.745_0.671
3803-26346,0.505_0.699
3811-4629,1.185_0.715
3803-16896,1.162_0.644
3803-23111,1.689_0.552
3809-412,0.869_0.642
3809-26181,0.455_0.688
3803-2394,1.174_0.637
3841-2093,0.462_0.756
3811-23111,0.317_0.736
3811-21927,0.821_0.632
3811-26002,1.916_0.682
3811-2328,0.716_0.461
3841-7932,1.891_0.701
3803-10664,1.097_0.595
3803-24302,0.659_0.69
3803-1910,1.318_0.728
3809-2609,0.271_0.692
3841-10859,0.926_0.679
3841-15808,0.579_0.667
3811-1378,1.226_0.496
3811-24028,0.626_0.595
3809-18171,0.352_0.76
3841-26638,0.561_0.711
3809-8811,0.869_0.661
3811-25144,0.709_0.815
3833-21117,1.442_0.541
3811-26882,0.591_0.68
3841-26002,0.377_0.713
3811-18885,0.853_0.816
3841-21116,0.095_0.632
3811-24743,0.551_0.617
3833-7053,1.219_0.518
3809-26375,0.086_0.691
3809-26735,0.706_0.737
3811-26864,0.362_0.681
3841-31264,0.09_0.739
3809-20176,1.504_0.638
3803-15467,0.894_0.723
3809-16896,0.614_0.696
3841-25141,0.293_0.753
3833-7203,2.0_0.622
3835-18272,2.0_0.604
3809-10357,0.974_0.573
3833-19375,1.043_0.553
3809-2390,1.399_0.778
3809-23913,1.138_0.661
3803-7203,0.897_0.597
3809-22780,0.404_0.725
3841-30408,1.325_0.869
3841-18125,0.715_0.669
3809-24816,1.074_0.642
3811-22891,1.155_0.695
3841-2285,0.267_0.564
3803-461,1.502_0.701
3803-11326,2.0_0.686
3841-19536,0.307_0.627
3811-25126,1.051_0.683
3809-31470,0.624_0.769
3811-7057,1.053_0.74
