index,corr. coef
3833-25876,0.428_0.786
3833-30889,0.245_0.854
3811-2677,1.23_0.628
3833-24743,0.482_0.712
3809-18749,0.668_0.793
3811-24403,0.493_0.531
3833-26291,0.478_0.809
3811-30807,0.847_0.7
3811-26639,1.012_0.794
3809-4500,0.357_0.653
3803-26292,0.577_0.641
3841-24048,0.233_0.622
3841-26291,0.169_0.694
3811-26292,0.543_0.69
3809-5763,0.626_0.691
3841-9758,0.224_0.815
3841-16896,0.13_0.717
3809-2720,1.485_0.496
3809-10316,0.355_0.832
3833-31719,0.376_0.855
3811-26001,0.521_0.811
3841-8827,0.505_0.726
3811-31110,0.532_0.884
3803-2789,0.436_0.763
3803-25126,0.329_0.663
3809-2969,0.52_0.796
3803-25141,0.551_0.804
3811-25137,0.548_0.727
3809-9745,0.708_0.633
3803-2012,0.194_0.648
3811-10023,0.623_0.604
3809-21117,0.462_0.643
3811-7931,1.503_0.579
3809-20366,0.05_0.729
3833-2471,1.216_0.775
3803-26639,1.247_0.64
3811-19070,1.001_0.587
3841-10401,0.154_0.753
3809-8624,0.35_0.83
3841-18223,1.105_0.628
3809-4959,0.353_0.724
3841-1506,0.765_0.697
3803-25144,0.51_0.789
3811-26650,0.382_0.75
3841-20938,1.374_0.67
3841-2386,0.065_0.71
3833-23111,1.333_0.649
3811-21116,0.467_0.7
3841-19545,0.409_0.887
3809-11308,0.262_0.674
3803-23115,0.191_0.718
3811-2609,0.213_0.611
3809-7053,1.327_0.653
3841-19539,0.313_0.549
3811-23845,0.699_0.583
3811-18223,0.325_0.608
3841-2789,0.235_0.485
3841-23845,0.325_0.639
3803-4625,0.238_0.706
3841-1036,0.411_0.561
3833-24880,0.64_0.785
3811-13754,0.13_0.749
3811-2407,1.275_0.537
3809-26676,0.174_0.697
3803-4343,1.444_0.734
3803-1445,0.821_0.681
3811-26735,1.891_0.501
3809-18116,1.277_0.639
3809-24743,0.277_0.659
3841-19537,0.856_0.635
3809-19071,0.593_0.602
3809-1910,1.107_0.675
3811-2719,0.7_0.675
3803-2397,0.712_0.766
3811-21117,0.501_0.652
3833-23913,0.723_0.779
3841-25144,0.598_0.54
3841-26637,0.334_0.663
3833-13754,0.294_0.773
3803-5675,0.373_0.728
3811-31719,0.607_0.865
3841-16503,0.248_0.703
3809-5289,0.478_0.764
3841-26676,0.573_0.591
3833-26638,0.672_0.772
3809-3002,1.597_0.635
3811-31205,0.795_0.641
3809-1951,0.551_0.68
3809-25139,0.799_0.71
3803-26676,1.352_0.674
3841-19070,0.176_0.685
3803-9949,0.952_0.909
3803-30818,0.211_0.864
3841-16122,0.617_0.693
3811-13818,0.444_0.759
3841-10853,1.038_0.82
3811-10824,0.016_0.686
3811-23913,0.281_0.815
3811-20169,0.586_0.567
3809-10629,0.25_0.654
3811-15808,0.365_0.748
3809-6479,0.455_0.753
3841-5495,0.643_0.63
3803-2386,0.836_0.75
3809-26348,0.853_0.639
3811-4033,1.514_0.739
3803-18111,0.545_0.606
3811-25140,0.84_0.566
3809-8925,0.691_0.68
3803-13540,0.618_0.623
3811-2313,0.65_0.633
3841-18224,2.0_0.682
3811-7222,0.824_0.766
3811-2308,0.455_0.648
3811-26872,0.688_0.707
3833-31587,0.252_0.931
3841-13410,1.155_0.646
3811-1910,0.592_0.673
3809-27491,0.568_0.709
3841-26292,0.758_0.59
3803-26346,0.684_0.665
3811-31080,0.855_0.782
3833-9949,0.436_0.679
3803-24302,0.524_0.664
3803-25005,0.38_0.809
3835-22357,2.0_0.721
3809-412,1.316_0.642
3841-2093,0.462_0.681
3811-24785,0.579_0.585
3803-16589,1.043_0.587
3841-16109,1.494_0.618
3811-7053,1.446_0.711
3803-10664,0.34_0.54
3841-2394,0.489_0.588
3841-7932,1.978_0.705
3811-26002,1.665_0.692
3811-16896,0.779_0.658
3811-24759,1.185_0.655
3841-10859,0.275_0.721
3841-15808,1.57_0.698
3811-24394,0.623_0.753
